攻击 \ 防御,普,火,水,草,电,冰,斗,毒,地,飞,超,虫,岩,鬼,龙,恶,钢,妖
普,1,1,1,1,1,1,1,1,1,1,1,1,0.5,0,1,1,0.5,1
火,1,0.5,0.5,2,1,2,1,1,1,1,1,2,0.5,1,0.5,1,2,1
水,1,2,0.5,0.5,1,1,1,1,2,1,1,1,2,1,0.5,1,1,1
草,1,0.5,2,0.5,1,1,1,0.5,2,0.5,1,0.5,2,1,0.5,1,0.5,1
电,1,1,2,0.5,0.5,1,1,1,0,2,1,1,1,1,0.5,1,1,1
冰,1,0.5,0.5,2,1,0.5,1,1,2,2,1,1,1,1,2,1,0.5,1
斗,2,1,1,1,1,2,1,0.5,1,0.5,0.5,0.5,2,0,1,2,2,0.5
毒,1,1,1,2,1,1,1,0.5,0.5,1,1,1,0.5,0.5,1,1,0,2
地,1,2,1,0.5,2,1,1,2,1,0,1,0.5,2,1,1,1,2,1
飞,1,1,1,2,0.5,1,2,1,1,1,1,2,0.5,1,1,1,0.5,1
超,1,1,1,1,1,1,2,2,1,1,0.5,1,1,1,1,0,0.5,1
虫,1,0.5,1,2,1,1,0.5,0.5,1,0.5,2,1,1,0.5,1,2,0.5,0.5
岩,1,2,1,1,1,2,0.5,1,0.5,2,1,2,1,1,1,1,0.5,1
鬼,0,1,1,1,1,1,1,1,1,1,2,1,1,2,1,0.5,1,1
龙,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,0.5,0
恶,1,1,1,1,1,1,0.5,1,1,1,2,1,1,2,1,0.5,1,0.5
钢,1,0.5,0.5,1,0.5,2,1,1,1,1,1,1,2,1,1,1,0.5,2
妖,1,0.5,1,1,1,1,2,0.5,1,1,1,1,1,1,2,2,0.5,1